Date,Volume
2013-09-17,25590700
2013-09-18,24046300
2013-09-19,24274700
2013-09-20,94572300
2013-09-23,20920500
2013-09-24,21462700
2013-09-25,23559200
2013-09-26,17460300
2013-09-27,11436100
2013-09-30,16556900
2013-10-01,26056400
2013-10-02,18583300
2013-10-03,25498500
2013-10-04,17134400
2013-10-07,16734000
2013-10-08,35910400
2013-10-09,36053700
2013-10-10,24019400
2013-10-11,17384600
2013-10-14,63648400
2013-10-15,52027500
2013-10-16,34138300
2013-10-17,45838000
2013-10-18,108913700
2013-10-21,68891000
2013-10-22,92506500
2013-10-23,65948000
2013-10-24,43033200
2013-10-25,43346300
2013-10-28,23820500
2013-10-29,15816500
2013-10-30,16208000
2013-10-31,18062700
2013-11-01,14422000
2013-11-04,16749400
2013-11-05,14003100
2013-11-06,15065300
2013-11-07,18856200
2013-11-08,12072000
2013-11-11,12981500
2013-11-12,20185800
2013-11-13,28914000
2013-11-14,15123200
2013-11-15,11570800
2013-11-18,13170900
2013-11-19,20169800
2013-11-20,9937400
2013-11-21,13646200
2013-11-22,11315300
2013-11-25,11605400
2013-11-26,16989300
2013-11-27,19876400
2013-11-29,15448400
2013-12-02,24119700
2013-12-03,23323200
2013-12-04,21609700
2013-12-05,14465700
2013-12-06,15825300
2013-12-09,10470700
2013-12-10,29571500
2013-12-11,13436700
2013-12-12,10013900
2013-12-13,9074200
2013-12-16,22228600
2013-12-17,14836400
2013-12-18,12658100
2013-12-19,10419000
2013-12-20,12762700
2013-12-23,14531000
2013-12-24,5798900
2013-12-26,9887600
2013-12-27,8248800
2013-12-30,17519300
2013-12-31,12347800
2014-01-02,20548400
2014-01-03,22887200
2014-01-06,42398300
2014-01-07,42932100
2014-01-08,30678700
2014-01-09,30667600
2014-01-10,20840800
2014-01-13,22856100
2014-01-14,42434800
2014-01-15,66613100
2014-01-16,46975600
2014-01-17,45842700
2014-01-21,58702900
2014-01-22,86329500
2014-01-23,29844700
2014-01-24,48095800
2014-01-27,31332300
2014-01-28,27962600
2014-01-29,21765000
2014-01-30,17111700
2014-01-31,13602100
2014-02-03,22280200
2014-02-04,22681000
2014-02-05,14858900
2014-02-06,16072900
2014-02-07,23119700
2014-02-10,21241100
2014-02-11,34198100
2014-02-12,18321300
2014-02-13,13368600
2014-02-14,12387900
2014-02-18,11956700
2014-02-19,14175500
2014-02-20,13276100
2014-02-21,13606800
2014-02-24,10717900
2014-02-25,9173500
2014-02-26,13211700
2014-02-27,18218000
2014-02-28,14643200
2014-03-03,19555800
2014-03-04,10516100
2014-03-05,10740200
2014-03-06,10713000
2014-03-07,55435800
2014-03-10,42135800
2014-03-11,34951400
2014-03-12,14700500
2014-03-13,19803000
2014-03-14,18161500
2014-03-17,20004100
2014-03-18,15273700
2014-03-19,28516900
2014-03-20,23600600
2014-03-21,23871200
2014-03-24,20669500
2014-03-25,14517000
2014-03-26,14799700
2014-03-27,24532000
2014-03-28,13189200
2014-03-31,15386000
2014-04-01,18778800
2014-04-02,14839500
2014-04-03,16802300
2014-04-04,23427000
2014-04-07,24874600
2014-04-08,17339100
2014-04-09,11270300
2014-04-10,21364300
2014-04-11,34428800
2014-04-14,22735100
2014-04-15,21754300
2014-04-16,18173300
2014-04-17,32048100
2014-04-21,102651500
2014-04-22,52806800
2014-04-23,29136300
2014-04-24,27532800
2014-04-25,37810200
2014-04-28,31737100
2014-04-29,14582900
2014-04-30,18419200
2014-05-01,37807300
2014-05-02,14479700
2014-05-05,9015400
2014-05-06,17929300
2014-05-07,22374700
2014-05-08,14550200
2014-05-09,15982900
2014-05-12,14785500
2014-05-13,11224000
2014-05-14,10349600
2014-05-15,18000900
2014-05-16,17166600
2014-05-19,18171000
2014-05-20,15647500
2014-05-21,13369500
2014-05-22,11903100
2014-05-23,9831100
2014-05-27,6922800
2014-05-28,12293800
2014-05-29,8876700
2014-05-30,10030600
2014-06-02,10859500
2014-06-03,10858800
2014-06-04,13286000
2014-06-05,13723800
2014-06-06,8466000
2014-06-09,7597200
2014-06-10,28322100
2014-06-11,20596200
2014-06-12,26709500
2014-06-13,17734600
2014-06-16,26192800
2014-06-17,19445000
2014-06-18,14702400
