Date,Volume
2013-09-17,45930000
2013-09-18,58928000
2013-09-19,47018000
2013-09-20,106046000
2013-09-23,37698000
2013-09-24,40672000
2013-09-25,40172000
2013-09-26,39798000
2013-09-27,33150000
2013-09-30,32472000
2013-10-01,47928000
2013-10-02,44348000
2013-10-03,53496000
2013-10-04,36300000
2013-10-07,41664000
2013-10-08,63324000
2013-10-09,64948000
2013-10-10,51102000
2013-10-11,43262000
2013-10-14,38782000
2013-10-15,45222000
2013-10-16,43414000
2013-10-17,52968000
2013-10-18,119396000
2013-10-21,50446000
2013-10-22,78710000
2013-10-23,56364000
2013-10-24,117694000
2013-10-25,240736000
2013-10-28,72716000
2013-10-29,43708000
2013-10-30,90044000
2013-10-31,49336000
2013-11-01,66620000
2013-11-04,38768000
2013-11-05,40142000
2013-11-06,45646000
2013-11-07,84926000
2013-11-08,53138000
2013-11-11,45234000
2013-11-12,46862000
2013-11-13,55466000
2013-11-14,83196000
2013-11-15,89832000
2013-11-18,54748000
2013-11-19,38096000
2013-11-20,35430000
2013-11-21,39292000
2013-11-22,59310000
2013-11-25,59446000
2013-11-26,54488000
2013-11-27,45394000
2013-11-29,48120000
2013-12-02,94280000
2013-12-03,74058000
2013-12-04,47106000
2013-12-05,38130000
2013-12-06,39694000
2013-12-09,55236000
2013-12-10,54736000
2013-12-11,49026000
2013-12-12,42474000
2013-12-13,60500000
2013-12-16,45034000
2013-12-17,46878000
2013-12-18,69782000
2013-12-19,48544000
2013-12-20,100678000
2013-12-23,53190000
2013-12-24,27608000
2013-12-26,37370000
2013-12-27,39738000
2013-12-30,49742000
2013-12-31,39930000
2014-01-02,42756000
2014-01-03,44204000
2014-01-06,63412000
2014-01-07,38320000
2014-01-08,46330000
2014-01-09,42060000
2014-01-10,53590000
2014-01-13,56898000
2014-01-14,46802000
2014-01-15,53566000
2014-01-16,52024000
2014-01-17,90102000
2014-01-21,62442000
2014-01-22,41210000
2014-01-23,60508000
2014-01-24,89168000
2014-01-27,78736000
2014-01-28,57890000
2014-01-29,67646000
2014-01-30,209478000
2014-01-31,323096000
2014-02-03,205616000
2014-02-04,96258000
2014-02-05,88708000
2014-02-06,66714000
2014-02-07,86610000
2014-02-10,68994000
2014-02-11,64442000
2014-02-12,131754000
2014-02-13,83500000
2014-02-14,70404000
2014-02-18,99960000
2014-02-19,83362000
2014-02-20,69856000
2014-02-21,84200000
2014-02-24,72894000
2014-02-25,74728000
2014-02-26,72442000
2014-02-27,62098000
2014-02-28,77640000
2014-03-03,55966000
2014-03-04,54088000
2014-03-05,76966000
2014-03-06,58532000
2014-03-07,45596000
2014-03-10,42116000
2014-03-11,44922000
2014-03-12,44332000
2014-03-13,136580000
2014-03-14,88044000
2014-03-17,46060000
2014-03-18,49670000
2014-03-19,52934000
2014-03-20,51170000
2014-03-21,108282000
2014-03-24,97470000
2014-03-25,88914000
2014-03-26,82414000
2014-03-27,115328000
2014-03-28,79736000
2014-03-31,85950000
2014-04-01,72002000
2014-04-02,89510000
2014-04-03,127986000
2014-04-04,250692000
2014-04-07,141548000
2014-04-08,131552000
2014-04-09,101132000
2014-04-10,122534000
2014-04-11,145750000
2014-04-14,85870000
2014-04-15,107972000
2014-04-16,85698000
2014-04-17,85984000
2014-04-21,59988000
2014-04-22,74232000
2014-04-23,72092000
2014-04-24,185874000
2014-04-25,323604000
2014-04-28,289596000
2014-04-29,130186000
2014-04-30,81772000
2014-05-01,86572000
2014-05-02,79902000
2014-05-05,50398000
2014-05-06,93646000
2014-05-07,140304000
2014-05-08,76964000
2014-05-09,81260000
2014-05-12,74592000
2014-05-13,70198000
2014-05-14,66466000
2014-05-15,85902000
2014-05-16,72736000
2014-05-19,45684000
2014-05-20,81914000
2014-05-21,68176000
2014-05-22,51536000
2014-05-23,61058000
2014-05-27,97242000
2014-05-28,54520000
2014-05-29,47310000
2014-05-30,85204000
2014-06-02,44068000
2014-06-03,47584000
2014-06-04,42142000
2014-06-05,155934000
2014-06-06,104880000
2014-06-09,64244000
2014-06-10,73268000
2014-06-11,88736000
2014-06-12,85526000
2014-06-13,55296000
2014-06-16,48996000
2014-06-17,58482000
2014-06-18,128030000
2014-06-19,106412000
2014-06-20,121080000
2014-06-23,52096000
2014-06-24,52532000
2014-06-25,46556000
2014-06-26,53990000
2014-06-27,48324000
2014-06-30,53426000
2014-07-01,63472000
2014-07-02,53626000
2014-07-03,38886000
2014-07-07,42578000
2014-07-08,85432000
2014-07-09,63322000
2014-07-10,53300000
2014-07-11,166016000
2014-07-14,112198000
2014-07-15,83418000
2014-07-16,70072000
2014-07-17,72720000
2014-07-18,68148000
2014-07-21,45568000
2014-07-22,57778000
2014-07-23,53746000
2014-07-24,141774000
2014-07-25,356930000
2014-07-28,118640000
2014-07-29,57676000
2014-07-30,79380000
2014-07-31,103840000
2014-08-01,148830000
2014-08-04,84018000
2014-08-05,57042000
2014-08-06,45938000
2014-08-07,58712000
2014-08-08,54118000
2014-08-11,49372000
2014-08-12,38316000
2014-08-13,98782000
2014-08-14,68408000
2014-08-15,77934000
2014-08-18,49708000
2014-08-19,34276000
2014-08-20,36210000
2014-08-21,39422000
2014-08-22,44224000
2014-08-25,39154000
2014-08-26,73094000
2014-08-27,59232000
2014-08-28,45054000
2014-08-29,38790000
2014-09-02,46520000
2014-09-03,39874000
2014-09-04,79312000
2014-09-05,42140000
2014-09-08,59106000
2014-09-09,92936000
2014-09-10,75948000
2014-09-11,54404000
2014-09-12,68586000
2014-09-15,80008000
2014-09-16,65198000
2014-09-17,82720000
2014-09-18,51538000
2014-09-19,137724000
2014-09-22,62194000
2014-09-23,47052000
2014-09-24,52844000
2014-09-25,58576000
2014-09-26,72760000
2014-09-29,38492000
2014-09-30,52724000
2014-10-01,61782000
2014-10-02,71078000
2014-10-03,60748000
2014-10-06,45806000
2014-10-07,47308000
2014-10-08,69056000
2014-10-09,71758000
2014-10-10,73638000
2014-10-13,87278000
2014-10-14,67716000
2014-10-15,106878000
2014-10-16,94626000
2014-10-17,88102000
2014-10-20,64690000
2014-10-21,71186000
2014-10-22,62518000
2014-10-23,180764000
2014-10-24,396022000
2014-10-27,119012000
2014-10-28,111452000
2014-10-29,97638000
2014-10-30,81104000
2014-10-31,91014000
2014-11-03,64850000
2014-11-04,68548000
2014-11-05,93490000
2014-11-06,75162000
2014-11-07,52948000
2014-11-10,56182000
2014-11-11,76072000
2014-11-12,43660000
2014-11-13,73728000
2014-11-14,177556000
2014-11-17,95698000
2014-11-18,70990000
2014-11-19,65632000
2014-11-20,68734000
2014-11-21,89332000
2014-11-24,55084000
2014-11-25,51300000
2014-11-26,39672000
2014-11-28,61036000
2014-12-01,98898000
2014-12-02,55806000
2014-12-03,113620000
2014-12-04,65806000
2014-12-05,65304000
2014-12-08,72784000
2014-12-09,80990000
2014-12-10,64918000
2014-12-11,65258000
2014-12-12,63070000
2014-12-15,76832000
2014-12-16,130026000
2014-12-17,88670000
2014-12-18,154762000
2014-12-19,174182000
2014-12-22,80076000
2014-12-23,54274000
2014-12-24,30276000
2014-12-26,57876000
2014-12-29,60180000
2014-12-30,41860000
2014-12-31,40960000
2015-01-02,55664000
2015-01-05,55484000
2015-01-06,70380000
2015-01-07,52806000
2015-01-08,61768000
2015-01-09,51848000
2015-01-12,68428000
2015-01-13,82728000
2015-01-14,110774000
2015-01-15,88384000
2015-01-16,69564000
2015-01-20,61502000
2015-01-21,201302000
2015-01-22,107252000
2015-01-23,89928000
2015-01-26,63394000
2015-01-27,58406000
2015-01-28,61276000
2015-01-29,173132000
2015-01-30,477122000
2015-02-02,204638000
2015-02-03,124252000
2015-02-04,83398000
2015-02-05,144952000
2015-02-06,77848000
2015-02-09,54492000
2015-02-10,45744000
2015-02-11,55730000
2015-02-12,55822000
2015-02-13,69502000
2015-02-17,73464000
2015-02-18,53012000
2015-02-19,59076000
2015-02-20,65160000
2015-02-23,43540000
2015-02-24,38416000
2015-02-25,63490000
2015-02-26,53742000
2015-02-27,50646000
2015-03-02,42784000
2015-03-03,38930000
2015-03-04,45182000
2015-03-05,53870000
2015-03-06,52540000
2015-03-09,46228000
2015-03-10,62420000
2015-03-11,49902000
2015-03-12,56200000
2015-03-13,52234000
2015-03-16,47082000
2015-03-17,40740000
2015-03-18,53082000
2015-03-19,38314000
2015-03-20,75272000
2015-03-23,44786000
2015-03-24,44564000
2015-03-25,68590000
2015-03-26,58600000
2015-03-27,52196000
2015-03-30,36418000
2015-03-31,50122000
2015-04-01,49162000
2015-04-02,37506000
2015-04-06,61014000
2015-04-07,39098000
2015-04-08,52728000
2015-04-09,47846000
2015-04-10,51470000
2015-04-13,37890000
2015-04-14,51672000
2015-04-15,38664000
2015-04-16,41608000
2015-04-17,76794000
2015-04-20,100322000
2015-04-21,92870000
2015-04-22,69494000
2015-04-23,159600000
2015-04-24,343538000
2015-04-27,108618000
2015-04-28,82810000
2015-04-29,72434000
2015-04-30,72958000
2015-05-01,71316000
2015-05-04,45408000
2015-05-05,57128000
2015-05-06,51050000
2015-05-07,55322000
2015-05-08,58176000
2015-05-11,47874000
2015-05-12,38956000
2015-05-13,39926000
2015-05-14,37770000
2015-05-15,84806000
2015-05-18,47804000
2015-05-19,49284000
2015-05-20,43924000
2015-05-21,82428000
2015-05-22,40412000
2015-05-26,44884000
2015-05-27,44622000
2015-05-28,38248000
2015-05-29,60322000
2015-06-01,45066000
2015-06-02,33378000
2015-06-03,54558000
2015-06-04,50216000
2015-06-05,38158000
2015-06-08,43450000
2015-06-09,45774000
2015-06-10,43446000
2015-06-11,58450000
2015-06-12,41088000
2015-06-15,41020000
2015-06-16,45928000
2015-06-17,43718000
2015-06-18,67568000
2015-06-19,89902000
2015-06-22,36472000
2015-06-23,64900000
2015-06-24,52416000
2015-06-25,44750000
2015-06-26,52490000
2015-06-29,55064000
2015-06-30,51938000
2015-07-01,39742000
2015-07-02,26868000
2015-07-06,38064000
2015-07-07,69084000
2015-07-08,47662000
2015-07-09,45428000
2015-07-10,48020000
2015-07-13,79136000
2015-07-14,94724000
2015-07-15,59748000
2015-07-16,81912000
2015-07-17,98644000
2015-07-20,95050000
2015-07-21,63636000
2015-07-22,62298000
2015-07-23,187488000
2015-07-24,438188000
2015-07-27,149820000
2015-07-28,105462000
2015-07-29,75052000
2015-07-30,74862000
2015-07-31,60512000
2015-08-03,60284000
2015-08-04,58692000
2015-08-05,57788000
