Date,Volume
2013-09-17,16860800
2013-09-18,26816800
2013-09-19,22757200
2013-09-20,35603600
2013-09-23,27124400
2013-09-24,22973200
2013-09-25,23315600
2013-09-26,14881600
2013-09-27,15192000
2013-09-30,22664000
2013-10-01,22697600
2013-10-02,16203600
2013-10-03,43676800
2013-10-04,24622800
2013-10-07,16995200
2013-10-08,29071200
2013-10-09,27586000
2013-10-10,22348400
2013-10-11,21370400
2013-10-14,16662800
2013-10-15,20882000
2013-10-16,21007200
2013-10-17,21332400
2013-10-18,25506800
2013-10-21,19500800
2013-10-22,17945200
2013-10-23,25221600
2013-10-24,23643600
2013-10-25,33049200
2013-10-28,39402400
2013-10-29,38795200
2013-10-30,20403200
2013-10-31,29336800
2013-11-01,20613600
2013-11-04,41026400
2013-11-05,42236800
2013-11-06,19804400
2013-11-07,55307600
2013-11-08,73453200
2013-11-11,29762400
2013-11-12,31603200
2013-11-13,33279200
2013-11-14,30798000
2013-11-15,45033200
2013-11-18,31694800
2013-11-19,20671600
2013-11-20,20477600
2013-11-21,21356800
2013-11-22,15866800
2013-11-25,24820800
2013-11-26,75317600
2013-11-27,18127200
2013-11-29,11696400
2013-12-02,37387200
2013-12-03,29056000
2013-12-04,49317600
2013-12-05,27181200
2013-12-06,28100000
2013-12-09,38522000
2013-12-10,52426800
2013-12-11,41415600
2013-12-12,25872400
2013-12-13,18458800
2013-12-16,23762000
2013-12-17,27410400
2013-12-18,42623200
2013-12-19,25854400
2013-12-20,38208000
2013-12-23,16856800
2013-12-24,7960000
2013-12-26,16892000
2013-12-27,21097600
2013-12-30,24818000
2013-12-31,23577600
2014-01-02,26009200
2014-01-03,25933200
2014-01-06,40949200
2014-01-07,33328800
2014-01-08,30819200
2014-01-09,29217200
2014-01-10,21849200
2014-01-13,24333200
2014-01-14,24182800
2014-01-15,17504400
2014-01-16,22065200
2014-01-17,34040000
2014-01-21,24607600
2014-01-22,33794000
2014-01-23,18502800
2014-01-24,24669600
2014-01-27,23381200
2014-01-28,16799600
2014-01-29,16294400
2014-01-30,20289600
2014-01-31,33534800
2014-02-03,43172800
2014-02-04,28069200
2014-02-05,21467600
2014-02-06,16838000
2014-02-07,15724800
2014-02-10,32437200
2014-02-11,23538400
2014-02-12,74452800
2014-02-13,90283600
2014-02-14,81753600
2014-02-18,42898800
2014-02-19,45034000
2014-02-20,39808800
2014-02-21,45105200
2014-02-24,40311200
2014-02-25,24218400
2014-02-26,36088400
2014-02-27,38884800
2014-02-28,32169200
2014-03-03,37594800
2014-03-04,26034400
2014-03-05,24147200
2014-03-06,29014400
2014-03-07,26845200
2014-03-10,30088800
2014-03-11,29722000
2014-03-12,23942800
2014-03-13,38517200
2014-03-14,46004800
2014-03-17,29965600
2014-03-18,29390400
2014-03-19,36616800
2014-03-20,19180000
2014-03-21,56611600
2014-03-24,30609600
2014-03-25,30442400
2014-03-26,55775600
2014-03-27,54072800
2014-03-28,39882000
2014-03-31,27340400
2014-04-01,65627200
2014-04-02,23994800
2014-04-03,59954800
2014-04-04,36803200
2014-04-07,42857600
2014-04-08,47069200
2014-04-09,42196800
2014-04-10,37274800
2014-04-11,35311200
2014-04-14,29018400
2014-04-15,30463600
2014-04-16,23513600
2014-04-17,15353200
2014-04-21,11700400
2014-04-22,25512000
2014-04-23,26158000
2014-04-24,39149200
2014-04-25,31360000
2014-04-28,22678800
2014-04-29,17130000
2014-04-30,30574000
2014-05-01,19810400
2014-05-02,15637600
2014-05-05,23926000
2014-05-06,41618800
2014-05-07,29390000
2014-05-08,43272800
2014-05-09,53953200
2014-05-12,29985600
2014-05-13,22110400
2014-05-14,21432000
2014-05-15,32589600
2014-05-16,28396000
2014-05-19,36007600
2014-05-20,25620000
2014-05-21,21671200
2014-05-22,13036400
2014-05-23,18265600
2014-05-27,20968000
2014-05-28,22467600
2014-05-29,17188400
2014-05-30,23912800
2014-06-02,18150000
2014-06-03,24321200
2014-06-04,16123600
2014-06-05,18869600
2014-06-06,16105200
2014-06-09,24745600
2014-06-10,21760800
2014-06-11,26622800
2014-06-12,33714800
2014-06-13,22785200
2014-06-16,19862000
2014-06-17,15760800
2014-06-18,21553600
2014-06-19,47459200
2014-06-20,35314800
2014-06-23,41420000
2014-06-24,27578000
2014-06-25,21542000
2014-06-26,25690800
2014-06-27,30282000
2014-06-30,18051200
2014-07-01,32118000
2014-07-02,17928400
2014-07-03,13689200
2014-07-07,12749600
2014-07-08,22194000
2014-07-09,38766800
2014-07-10,26630800
2014-07-11,19118800
2014-07-14,27263600
2014-07-15,39544000
2014-07-16,31972800
2014-07-17,32483200
2014-07-18,56781600
2014-07-21,24336400
2014-07-22,29881600
2014-07-23,29735200
2014-07-24,25457600
2014-07-25,26613200
2014-07-28,33035200
2014-07-29,21797200
2014-07-30,24618400
2014-07-31,40188000
2014-08-01,21988400
2014-08-04,24172400
2014-08-05,29813600
2014-08-06,22345600
2014-08-07,40769600
2014-08-08,89434800
2014-08-11,34462400
2014-08-12,29615200
2014-08-13,25659600
2014-08-14,25599200
2014-08-15,36979600
2014-08-18,28407600
2014-08-19,24826000
2014-08-20,22146800
2014-08-21,27279600
2014-08-22,25122400
2014-08-25,15338000
2014-08-26,26963600
2014-08-27,18297200
2014-08-28,17970400
2014-08-29,20793200
2014-09-02,19263600
2014-09-03,25945600
2014-09-04,49183200
2014-09-05,25379200
2014-09-08,31928800
2014-09-09,19858800
2014-09-10,17237600
2014-09-11,25072000
2014-09-12,26253600
2014-09-15,29415200
2014-09-16,21993600
2014-09-17,17358400
2014-09-18,21960400
2014-09-19,60131600
2014-09-22,22146400
2014-09-23,19614400
2014-09-24,15959200
2014-09-25,29844000
2014-09-26,24118800
2014-09-29,20854000
2014-09-30,27720400
2014-10-01,35097600
2014-10-02,28899600
2014-10-03,23914000
2014-10-06,19903200
2014-10-07,30189600
2014-10-08,26017200
2014-10-09,30695600
2014-10-10,69137600
2014-10-13,39762800
2014-10-14,37662000
2014-10-15,40442800
2014-10-16,35111600
2014-10-17,29071600
2014-10-20,20033600
2014-10-21,35109200
2014-10-22,23951200
2014-10-23,21447600
2014-10-24,21015600
2014-10-27,14509200
2014-10-28,19258000
2014-10-29,16834000
2014-10-30,17026000
2014-10-31,25631600
2014-11-03,30873200
2014-11-04,36019600
2014-11-05,33565200
2014-11-06,39408800
2014-11-07,45080000
2014-11-10,29338800
2014-11-11,21299200
2014-11-12,20458400
2014-11-13,22532800
2014-11-14,16024800
2014-11-17,15873200
2014-11-18,20777200
2014-11-19,24030000
2014-11-20,22096800
2014-11-21,19897600
2014-11-24,13600400
2014-11-25,19024000
2014-11-26,21926400
2014-11-28,12483200
2014-12-01,19006000
2014-12-02,24595200
2014-12-03,28442400
2014-12-04,18533200
2014-12-05,16568000
2014-12-08,22694400
2014-12-09,23944800
2014-12-10,20436400
2014-12-11,13565200
2014-12-12,32396400
2014-12-15,25469600
2014-12-16,18530800
2014-12-17,34559600
2014-12-18,22615600
2014-12-19,32552800
2014-12-22,14897600
2014-12-23,10928000
2014-12-24,4564400
2014-12-26,5263600
2014-12-29,8294400
2014-12-30,11212000
2014-12-31,16630000
2015-01-02,11368000
2015-01-05,19795200
2015-01-06,19776400
2015-01-07,32180800
2015-01-08,28378000
2015-01-09,20954000
2015-01-12,19073200
2015-01-13,23672000
2015-01-14,15526000
2015-01-15,18893200
2015-01-16,18151200
2015-01-20,14030800
2015-01-21,14478000
2015-01-22,15971200
2015-01-23,12041600
2015-01-26,13324000
2015-01-27,35794800
2015-01-28,27272800
2015-01-29,23534000
2015-01-30,29820000
2015-02-02,25960400
2015-02-03,18346800
2015-02-04,18151600
2015-02-05,14044800
2015-02-06,21052400
2015-02-09,27394400
2015-02-10,22620400
2015-02-11,32083200
2015-02-12,67690400
2015-02-13,31008400
2015-02-17,20334000
2015-02-18,17094800
2015-02-19,16943200
2015-02-20,15775200
2015-02-23,12500800
2015-02-24,14935600
2015-02-25,12382000
2015-02-26,15286400
2015-02-27,15749200
2015-03-02,30151200
2015-03-03,16034400
2015-03-04,22684000
2015-03-05,32305600
2015-03-06,25739200
2015-03-09,22238800
2015-03-10,52721200
2015-03-11,26212000
2015-03-12,40697200
2015-03-13,35928800
2015-03-16,23695600
2015-03-17,29990000
2015-03-18,41384400
2015-03-19,31075600
2015-03-20,46208400
2015-03-23,42601200
2015-03-24,33048000
2015-03-25,54255200
2015-03-26,31192000
2015-03-27,31828800
2015-03-30,25325200
2015-03-31,35727600
2015-04-01,33076800
2015-04-02,19220400
2015-04-06,51586400
2015-04-07,41396400
2015-04-08,36643200
2015-04-09,37943200
2015-04-10,25872800
2015-04-13,23672400
2015-04-14,22027600
2015-04-15,24356000
2015-04-16,15528400
2015-04-17,29363600
2015-04-20,23162400
2015-04-21,23045600
2015-04-22,20742000
2015-04-23,25938000
2015-04-24,24096000
2015-04-27,24845600
2015-04-28,23448400
2015-04-29,19515600
2015-04-30,21884400
2015-05-01,25696800
2015-05-04,20072000
2015-05-05,29292800
2015-05-06,31648400
2015-05-07,53456400
2015-05-08,114655200
2015-05-11,54414400
2015-05-12,38880000
2015-05-13,30852400
2015-05-14,29305200
2015-05-15,21582400
2015-05-18,32497200
2015-05-19,25380800
2015-05-20,19682400
2015-05-21,23969200
2015-05-22,21259200
2015-05-26,25973200
2015-05-27,43233200
2015-05-28,32765600
2015-05-29,33516800
2015-06-01,37266000
2015-06-02,22430400
2015-06-03,25078800
2015-06-04,32371200
2015-06-05,31332000
2015-06-08,34281200
2015-06-09,25688800
2015-06-10,52946000
2015-06-11,28305200
2015-06-12,32372800
2015-06-15,30654800
2015-06-16,25689200
2015-06-17,23354400
2015-06-18,29940400
2015-06-19,35565600
2015-06-22,51423600
2015-06-23,41406400
2015-06-24,25336800
2015-06-25,35046000
2015-06-26,42129600
2015-06-29,39172400
2015-06-30,31591600
2015-07-01,30289200
2015-07-02,14576400
2015-07-06,21477600
2015-07-07,59425200
2015-07-08,33249200
2015-07-09,35758800
2015-07-10,21670800
2015-07-13,21247200
2015-07-14,24921600
2015-07-15,26573200
2015-07-16,28284800
2015-07-17,22037200
2015-07-20,18841200
2015-07-21,14972000
2015-07-22,35647200
2015-07-23,16991600
2015-07-24,18884400
2015-07-27,19242000
2015-07-28,19830800
2015-07-29,23268000
2015-07-30,19018000
2015-07-31,21834000
2015-08-03,39713200
2015-08-04,26010000
2015-08-05,23462800
2015-08-06,65567600
2015-08-07,140524800
2015-08-10,66230400
2015-08-11,43500800
2015-08-12,38404800
2015-08-13,27688400
2015-08-14,21465200
2015-08-17,27388000
2015-08-18,28708400
2015-08-19,24924800
2015-08-20,42693200
2015-08-21,38266400
2015-08-24,68228400
2015-08-25,62268400
2015-08-26,61497600
2015-08-27,46376400
2015-08-28,32094400
2015-08-31,21935200
2015-09-01,35340800
2015-09-02,34404400
2015-09-03,26255600
2015-09-04,28797200
2015-09-08,23844800
2015-09-09,28939200
2015-09-10,35707600
2015-09-11,30158400
2015-09-14,19246000
2015-09-15,32797600
2015-09-16,17350800
2015-09-17,26871200
2015-09-18,32641200
2015-09-21,28184000
2015-09-22,22835600
2015-09-23,16163200
2015-09-24,38244000
2015-09-25,36969200
2015-09-28,39558400
2015-09-29,38073600
2015-09-30,55638000
2015-10-01,48929600
2015-10-02,38614400
2015-10-05,48202400
2015-10-06,45321600
2015-10-07,31015200
2015-10-08,46006800
2015-10-09,42324800
2015-10-12,22758800
2015-10-13,29844400
2015-10-14,61214800
2015-10-15,52604800
2015-10-16,44839600
2015-10-19,29471200
2015-10-20,26482400
2015-10-21,38628000
2015-10-22,30688400
2015-10-23,38177600
2015-10-26,24743600
2015-10-27,20826800
2015-10-28,21703600
2015-10-29,32716800
2015-10-30,30116000
2015-11-02,19008800
2015-11-03,37676800
2015-11-04,44226400
2015-11-05,47880000
2015-11-06,117227200
2015-11-09,49256800
2015-11-10,55226000
2015-11-11,61989600
2015-11-12,29108000
2015-11-13,29294000
2015-11-16,34428000
2015-11-17,25704800
2015-11-18,35021600
2015-11-19,25407200
2015-11-20,23974400
2015-11-23,24255200
2015-11-24,19542800
2015-11-25,13830000
2015-11-27,8699600
2015-11-30,32724400
2015-12-01,40949600
2015-12-02,29424000
2015-12-03,24665600
2015-12-04,45875600
2015-12-07,33358800
2015-12-08,31448800
2015-12-09,37267600
2015-12-10,23659600
2015-12-11,22732000
2015-12-14,27589200
2015-12-15,30729600
2015-12-16,23635600
2015-12-17,25416000
2015-12-18,39589600
2015-12-21,28421600
2015-12-22,13001200
2015-12-23,12252400
2015-12-24,5244800
2015-12-28,14202400
2015-12-29,20366000
2015-12-30,18034400
2015-12-31,14852800
2016-01-04,35807600
2016-01-05,49027200
2016-01-06,44934400
2016-01-07,64530400
2016-01-08,39847200
2016-01-11,40937200
2016-01-12,46935600
2016-01-13,48167200
2016-01-14,60023600
2016-01-15,84145200
2016-01-19,45714000
2016-01-20,48118000
2016-01-21,48145600
2016-01-22,25799600
2016-01-25,27072800
2016-01-26,22794400
2016-01-27,23170000
2016-01-28,27677600
2016-01-29,31050400
2016-02-01,28988400
2016-02-02,34190800
2016-02-03,32677200
2016-02-04,34814000
2016-02-05,60042800
2016-02-08,60885200
2016-02-09,42537200
2016-02-10,33580000
2016-02-11,34014400
2016-02-12,34081600
2016-02-16,48535200
2016-02-17,77146800
2016-02-18,106866000
2016-02-19,52562800
2016-02-22,44966800
2016-02-23,36938000
2016-02-24,33685200
2016-02-25,34961600
2016-02-26,36196400
2016-02-29,32334400
2016-03-01,34870000
2016-03-02,23381200
2016-03-03,30200400
2016-03-04,17530400
2016-03-07,23996800
2016-03-08,27494000
2016-03-09,22278800
2016-03-10,28608400
2016-03-11,27740000
2016-03-14,19031200
2016-03-15,22621600
2016-03-16,36364400
2016-03-17,35368000
2016-03-18,54551200
2016-03-21,33778000
2016-03-22,24201200
2016-03-23,42900800
2016-03-24,24495600
2016-03-28,26538800
2016-03-29,26181200
2016-03-30,37670000
2016-03-31,37988400
2016-04-01,34829200
2016-04-04,39394000
2016-04-05,33956800
2016-04-06,45337600
2016-04-07,37810400
2016-04-08,25593600
2016-04-11,38752400
2016-04-12,29276400
2016-04-13,35071600
2016-04-14,41656400
2016-04-15,43697200
2016-04-18,30732000
2016-04-19,30915200
2016-04-20,20017200
2016-04-21,17828000
2016-04-22,22354000
2016-04-25,19197200
2016-04-26,21453600
2016-04-27,35239600
2016-04-28,38122400
2016-04-29,32190400
2016-05-02,25607600
2016-05-03,22402400
2016-05-04,52576400
2016-05-05,24688400
2016-05-06,18324000
2016-05-09,33333600
2016-05-10,26967600
2016-05-11,32817600
2016-05-12,67054000
2016-05-13,211025600
2016-05-16,97303200
2016-05-17,62839200
2016-05-18,54107200
2016-05-19,39888000
2016-05-20,39108400
2016-05-23,41363600
2016-05-24,41578800
2016-05-25,45807600
2016-05-26,30996400
2016-05-27,27741600
2016-05-31,41252400
2016-06-01,38713200
2016-06-02,32920800
2016-06-03,46107600
2016-06-06,32251200
2016-06-07,19340000
2016-06-08,23461600
2016-06-09,47216800
2016-06-10,40002400
2016-06-13,47558800
2016-06-14,29834400
2016-06-15,30103600
2016-06-16,24645600
2016-06-17,47100000
2016-06-20,29376800
2016-06-21,21250800
2016-06-22,20262000
2016-06-23,29788000
2016-06-24,101768400
2016-06-27,44908800
2016-06-28,38192000
2016-06-29,31893200
2016-06-30,43094000
2016-07-01,21848800
2016-07-05,37108400
2016-07-06,27310400
2016-07-07,39540000
2016-07-08,48193200
2016-07-11,44877600
2016-07-12,43676000
2016-07-13,32460400
2016-07-14,31689200
2016-07-15,42861600
2016-07-18,25299200
2016-07-19,38265200
2016-07-20,29646000
2016-07-21,36130800
2016-07-22,31576800
2016-07-25,31252800
2016-07-26,51450800
2016-07-27,44667600
2016-07-28,22191600
2016-07-29,40958800
2016-08-01,30112000
2016-08-02,28274800
2016-08-03,29982800
2016-08-04,27271200
2016-08-05,37158800
2016-08-08,30506400
2016-08-09,37234400
2016-08-10,37574000
2016-08-11,68106400
2016-08-12,142574400
2016-08-15,57330400
2016-08-16,28765200
2016-08-17,59521200
2016-08-18,33168400
2016-08-19,29156000
2016-08-22,24474800
2016-08-23,33976400
2016-08-24,29844800
2016-08-25,40603200
2016-08-26,30002400
2016-08-29,27465200
2016-08-30,28554400
2016-08-31,38854400
2016-09-01,42849200
